lower_age,num,tot,prop,lwr,upr
0,52,1811,0.02871341800110436,0.02151727858854843,0.03748483916040746
2,18,2229,0.008075370121130552,0.004792794885588007,0.01273264605502189
4,11,2319,0.004743423889607589,0.002370206424670924,0.00847141034939658
6,6,2584,0.0023219814241486067,8.525880684926707e-4,0.005047074952951566
8,4,3025,0.001322314049586777,3.6039988717953087e-4,0.0033821576549261574
10,14,3284,0.004263093788063338,0.0023325732596343727,0.007142412216752603
12,17,3849,0.004416731618602235,0.0025749501257419562,0.00706222662744016
14,15,4057,0.003697313285679073,0.0020707895967136793,0.006090835187854776
16,24,5252,0.00456968773800457,0.0029300134897376766,0.006791750535096397
18,35,8012,0.004368447329006491,0.0030446133998378207,0.006070264883096635
20,61,10636,0.005735238811583302,0.0043897596120150905,0.007361137864865919
22,58,11818,0.004907767811812489,0.0037287203122693545,0.0063398673775757934
24,73,12630,0.005779889152810768,0.004533166248717874,0.007261933062573278
26,83,11984,0.006925901201602136,0.005520107253490026,0.008578563317157673
28,105,10763,0.00975564433708074,0.007985888020788211,0.011797652182096385
30,115,9914,0.011599757918095623,0.009586027073666289,0.01390754003931105
32,126,9006,0.013990672884743505,0.011667626580062804,0.01663540923574569
34,131,8519,0.01537739171264233,0.01287252583720507,0.01822118351667168
36,114,8366,0.013626583791537174,0.011253045516557305,0.016347183627090534
38,144,7899,0.018230155715913406,0.015395376329630025,0.021427848418972606
40,137,7866,0.01741673023137554,0.014642098682041634,0.020556656637156334
42,128,7541,0.016973876143747513,0.014179976843036445,0.020149521251134228
44,182,7975,0.02282131661442006,0.019656433583964766,0.02634118742170477
46,230,7854,0.02928444104914693,0.02566751846496838,0.03325601161159153
48,261,8150,0.03202453987730061,0.02830883999583963,0.03607957778948612
50,273,8161,0.03345178286974636,0.029656681974753085,0.03758458231940687
52,350,8350,0.041916167664670656,0.037718546863066416,0.046437122476987724
54,350,8461,0.04136626876255762,0.03722267871393961,0.0458293331307732
56,423,8235,0.05136612021857923,0.04669722502935951,0.05635560807527806
58,405,7698,0.052611067809820736,0.047729042449912426,0.05783522081881898
60,463,6886,0.06723787394713912,0.061434439791756536,0.07341091143034861
62,559,6243,0.08954028511933365,0.08257059780457028,0.09689614368183008
64,489,5150,0.09495145631067961,0.08707930295974149,0.10328603275968629
66,513,4201,0.1221137824327541,0.11235917652926644,0.13239715227651616
68,477,3562,0.1339135317237507,0.1228930648905564,0.14553852159770264
70,563,3292,0.1710206561360875,0.15830313892144413,0.1843253954512748
72,604,3139,0.19241796750557502,0.17876006553218446,0.20665145479597757
74,575,2683,0.21431233693626536,0.19891730344450143,0.2303331621821526
76,568,2473,0.22968054993934492,0.2132281345655337,0.24677550615696675
78,602,2394,0.25146198830409355,0.234186505886253,0.2693475808464738
80,639,2299,0.2779469334493258,0.2597094902307856,0.2967518790293888
82,633,2367,0.2674271229404309,0.24968150209139914,0.2857500440700851
84,646,2444,0.26432078559738137,0.24692436298169912,0.2822836932129451
86,613,2441,0.25112658746415406,0.23402514602355082,0.2688271204811733
88,582,2425,0.24,0.22311768283538128,0.2575125009840531
90,544,2216,0.24548736462093862,0.22768880441935793,0.263961353019906
92,449,1895,0.23693931398416887,0.21794995244940618,0.2567462031247729
94,284,1463,0.19412166780587833,0.17414252035312155,0.21533667993459615
96,130,867,0.14994232987312572,0.12682304162270086,0.1754689822163552
98,84,518,0.16216216216216217,0.13145779337816102,0.19678041738047924
100,56,349,0.16045845272206305,0.12354264676864023,0.20325307065524734
